platform,city,restaurant_name,rating,eta,product_name,price,url,scrape_time
uber_eats,CDMX,McDonald's Centro,4.6,10 min,big mac + papas grandes 30% off,$70,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465543
uber_eats,CDMX,McDonald's Centro,4.6,10 min,2 hamburguesas con queso + 2 mcnuggets,$65,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465544
uber_eats,CDMX,McDonald's Centro,4.6,10 min,disfruta de 2 cheese burger + 2 piezas de mcnuggets,$65,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465545
uber_eats,CDMX,McDonald's Centro,4.6,10 min,4 hamburguesas c/q + 10 mcnuggets + 2 papas gd's,$120,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465546
uber_eats,CDMX,McDonald's Centro,4.6,10 min,4 hamburguesas con queso + 2 papas grandes + 1 nuggets de 10 piezas,$118,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465547
uber_eats,CDMX,McDonald's Centro,4.6,10 min,2 hamburguesas con queso + 2 mcpollo + 2 papas grandes + 1 nuggets de 6 piezas,$115,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465548
uber_eats,CDMX,McDonald's Centro,4.6,10 min,exclusivo uber: mct nuggets 10 piezas + hamburguesa con queso,$85,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465549
uber_eats,CDMX,McDonald's Centro,4.6,10 min,mctrío nuggets 10 piezas + hamburguesa con queso,$89,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465549
uber_eats,CDMX,McDonald's Centro,4.6,10 min,big mac + papas grandes 30% off,$70,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465550
uber_eats,CDMX,McDonald's Centro,4.6,10 min,big mac + papas grandes 30% off,$70,https://www.ubereats.com/mx/store/mcdonalds-centro/pVf6cMIlRtCP2DC0iy7t4w?diningMode=DELIVERY&sc=SEARCH_SUGGESTION,2026-04-17T19:25:38.465551
